dummy_cell_id_year,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,elev,dist_sett,dist_riv,dist_road,dist_pa,npp,treecov,agriculture,team,year,eff1,eff2,eff3,eff4,eff5,eff6,eff7,eff8,eff9,eff10,eff11,eff12,eff13,eff14,team1,team2,team3,team4,team5,team6,team7,team8,team9,team10,team11,team12,team13,team14
111-2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.612583213,-0.648692548,2.12380452,0.736252325,-0.609250328,-0.059870328,-0.638634852,-0.503696379,T4,2015,-0.286088668,-0.286088668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T4,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112-2016,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.612583213,-0.648692548,2.12380452,0.736252325,-0.609250328,-0.059870328,-0.736155445,-0.456306904,T4,2016,-1.866384874,0.767442136,-0.81285407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T4,T4,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113-2014,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.311561615,0.368684719,0.807418188,-0.629894988,-0.71610848,1.493571557,0.643536106,-0.290443741,T4,2014,0.240676734,-0.602147909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T4,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114-2014,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243794082,-1.096129437,1.199855201,-0.534387914,-0.670770295,1.089972293,0.029164774,-0.314138479,T4,2014,0.346029815,-0.602147909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T4,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115-2015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243794082,-1.096129437,1.199855201,-0.534387914,-0.670770295,1.089972293,0.068241069,-0.314138479,T4,2015,-1.655678713,0.767442136,-2.287797196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T4,T4,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116-2014,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.041651336,-0.613675219,0.798702588,-0.196831242,-0.713232682,1.274674022,0.931265508,-0.503696379,T4,2014,0.135323654,-0.91820715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T4,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117-2014,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.464406412,-0.818399672,1.562307136,0.077962822,-0.674470233,1.559957906,0.916773521,0.254535221,T4,2014,0.240676734,-0.70750099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T4,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118-2016,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.819762736,-0.687444482,-0.025891862,-0.361840634,-0.58176541,1.363948062,0.414373829,1.723608947,T4,2016,0.135323654,0.767442136,-0.075382507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T4,T4,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119-2016,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.747909325,-0.775127487,0.575073854,-0.38610309,-0.124735896,1.147767429,-0.608101456,3.31115636,T4,2016,-0.075382507,0.767442136,-1.339619472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T4,T4,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120-2016,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15944491,-0.614810628,0.234652372,-0.101484851,-0.487286522,1.243770207,0.329032369,0.989072084,T4,2016,-0.075382507,0.767442136,-1.971737955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T4,T4,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
